"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 10 06:29:48 GMT 2023","Wed May 10 06:30:05 GMT 2023","17130","","Проверка параметров","","tests.SelenideTests","testScenario_1","Проверка параметров достопримечательности","Проверяем совпадение параметров (название, количество звезд, среднюю оценку, количество отзывов и стоимость) отеля на странице с картой и на странице отеля"
"failed","Wed May 10 06:30:05 GMT 2023","Wed May 10 06:30:12 GMT 2023","7104","","Проверка параметров","","tests.SelenideTests","testScenario_2","Проверка параметров достопримечательности","Проверяем совпадение параметров (название и цену) достопримечательности на странице всех достопримечательностей города и на странице выбранной достопримечательности "
