"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 10 10:45:22 GMT 2023","Wed May 10 10:45:51 GMT 2023","29431","","Проверка параметров","","tests.SelenideTests","testScenario_2","Проверка параметров достопримечательности","Проверяем совпадение параметров (название и цену) достопримечательности на странице всех достопримечательностей города и на странице выбранной достопримечательности "
"passed","Wed May 10 10:44:23 GMT 2023","Wed May 10 10:45:22 GMT 2023","58583","","Проверка параметров","","tests.SelenideTests","testScenario_1","Проверка параметров отеля","Проверяем совпадение параметров (название, количество звезд, среднюю оценку, количество отзывов и стоимость) отеля на странице с картой и на странице отеля"
